,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2013-05-24,18.520000457763672,19.59000015258789,18.399999618530273,19.416000366210938,19.416000366210938,80621000,TSLA,-2.4913285,20.440000534057617,-21.907328844070435,0.0
2013-05-29,22.709999084472656,22.979999542236328,19.799999237060547,20.926000595092773,20.926000595092773,125497500,TSLA,2.0766752,20.93600082397461,-18.84932541847229,0.0
2013-05-31,21.25200080871582,21.288000106811523,19.54599952697754,19.552000045776367,19.552000045776367,75860000,TSLA,2.689421,19.90999984741211,-16.862579107284546,0.0
2013-06-06,19.049999237060547,19.854000091552734,19.02199935913086,19.469999313354492,19.469999313354492,47554500,TSLA,-0.7179579,21.850000381469727,-20.187957227230072,0.0
2013-07-01,21.871999740600586,23.554000854492188,21.829999923706055,23.43600082397461,23.43600082397461,54518000,TSLA,11.125042,24.54800033569336,-12.310958862304688,0.0
2013-07-03,23.600000381469727,23.850000381469727,22.854000091552734,23.04800033569336,23.04800033569336,24033500,TSLA,12.8986635,24.81399917602539,-10.149336814880371,0.0
2013-07-08,24.27400016784668,24.43600082397461,23.763999938964844,24.32200050354004,24.32200050354004,39071000,TSLA,13.88517,26.923999786376953,-10.436830520629883,0.0
2013-07-16,25.256000518798828,25.263999938964844,21.459999084472656,21.809999465942383,21.809999465942383,161859500,TSLA,19.2609,28.430000305175785,-2.5490989685058594,0.0
2013-07-17,21.304000854492188,24.323999404907227,20.899999618530273,24.049999237060547,24.049999237060547,130145000,TSLA,19.457485,26.84600067138672,-4.5925140380859375,0.0
2013-07-22,23.97800064086914,25.336000442504883,23.97599983215332,24.486000061035156,24.486000061035156,48989000,TSLA,12.099862,29.475999832153317,-12.386137962341309,0.0
2013-07-25,24.079999923706055,24.950000762939453,24.038000106811523,24.81399917602539,24.81399917602539,26421500,TSLA,10.218314,27.93400001525879,-14.595685005187988,0.0
2013-07-31,26.513999938964844,26.993999481201172,26.290000915527344,26.856000900268555,26.856000900268555,31758500,TSLA,14.924389,29.572000503540043,-11.931612014770508,0.0
2013-08-07,28.378000259399414,28.389999389648438,26.472000122070312,26.84600067138672,26.84600067138672,91061000,TSLA,19.967478,33.290000915527344,-6.878522872924805,0.0
2013-08-13,29.899999618530273,29.968000411987305,28.889999389648438,29.086000442504883,29.086000442504883,43744500,TSLA,20.589443,34.124000549316406,-8.496557235717773,0.0
2013-08-22,29.8439998626709,31.496000289916992,29.628000259399414,31.420000076293945,31.420000076293945,52962000,TSLA,19.093145,33.108001708984375,-12.326854705810547,0.0
2013-09-03,34.68000030517578,34.7400016784668,33.279998779296875,33.78799819946289,33.78799819946289,60305500,TSLA,23.689253,36.465999603271484,-10.098745346069336,0.0
2013-10-01,38.79199981689453,38.84600067138672,37.67399978637695,38.599998474121094,38.599998474121094,38779500,TSLA,33.297443,34.30799865722656,0.0,5.302555084228516
2013-10-03,35.0099983215332,35.9379997253418,33.599998474121094,34.6619987487793,34.6619987487793,119082500,TSLA,35.474026,34.630001068115234,0.0,-0.8120269775390625
2013-10-08,36.880001068115234,37.18600082397461,34.641998291015625,34.94599914550781,34.94599914550781,68786000,TSLA,31.130945,32.89400100708008,0.0,3.815053939819336
2013-10-17,36.70800018310547,36.959999084472656,36.198001861572266,36.560001373291016,36.560001373291016,33525000,TSLA,27.378471,27.954000473022457,0.0,9.181529998779297
2013-10-23,33.78200149536133,34.36199951171875,32.029998779296875,32.900001525878906,32.900001525878906,66602000,TSLA,29.167732,27.739999771118168,0.0,3.732269287109375
2013-10-25,34.84199905395508,34.900001525878906,33.36000061035156,33.93199920654297,33.93199920654297,37977500,TSLA,28.03409,27.09000015258789,0.0,5.897909164428711
2013-10-31,31.134000778198242,32.487998962402344,30.65999984741211,31.988000869750977,31.988000869750977,46669000,TSLA,25.794561,24.420000076293945,0.0,6.193439483642578
2013-11-04,33.0,35.077999114990234,32.84400177001953,35.040000915527344,35.040000915527344,65602000,TSLA,25.789904,24.167999267578125,0.0,9.250097274780273
2013-11-06,30.961999893188477,32.145999908447266,29.270000457763672,30.23200035095215,30.23200035095215,155358500,TSLA,28.95086,25.38800048828125,0.0,1.2811412811279297
2013-11-07,28.83799934387207,29.1299991607666,27.52400016784668,27.95400047302246,27.95400047302246,111423500,TSLA,27.536175,25.45599937438965,0.0,0.41782569885253906
2013-11-11,28.200000762939453,29.083999633789062,27.420000076293945,28.940000534057617,28.940000534057617,69988000,TSLA,21.030844,28.94000053405762,-7.909156799316406,0.0
2013-11-12,28.937999725341797,28.940000534057617,27.236000061035156,27.559999465942383,27.559999465942383,74926000,TSLA,17.815893,27.790000915527344,-9.74410629272461,0.0
2013-11-15,27.3700008392334,27.59000015258789,26.8700008392334,27.09000015258789,27.09000015258789,49501000,TSLA,12.035339,28.31999969482422,-15.05466079711914,0.0
2013-11-22,24.31599998474121,24.549999237060547,23.586000442504883,24.275999069213867,24.275999069213867,55483500,TSLA,8.423093,29.58799934387207,-15.852906227111816,0.0
2013-11-26,23.875999450683594,24.54400062561035,23.219999313354492,24.100000381469727,24.100000381469727,69427500,TSLA,7.8050704,29.59600067138672,-16.29492998123169,0.0
2013-12-05,28.030000686645508,28.670000076293945,27.899999618530273,28.09600067138672,28.09600067138672,46442000,TSLA,13.340571,30.224000930786133,-14.7554292678833,0.0
